model_kind,horizon,samples,mean_error,mae,rmse,mape,smape,mase,rmsse,pinball_q10,pinball_q50,pinball_q90,pinball_avg,picp80,ace80,miw,winkler80
ensemble,7d,1176,4.096570396696132,25.812323231353716,57.57968041210376,0.22358093538107748,0.12487998516969669,0.4179877644057486,0.3247294647316443,7.335928333068602,12.906161615676858,6.475671366975281,8.90592043857358,0.5909863945578231,0.20901360544217695,44.073129079128215,138.11599700043865
lstm,7d,1176,6.332610855176478,35.08124188080893,88.43465574427874,0.289646695195009,0.14215089551882257,0.5056592759709166,0.4050814057689378,11.115829863599474,17.540620940404466,9.5555430794887,12.737331294497546,0.5510204081632653,0.2489795918367348,55.92672567764975,206.7137294308818
sarima,7d,1176,3.1855979369188585,26.71126683767971,59.461041634065104,0.2277931602634454,0.13393462085945723,0.4697710766027274,0.3706783902339435,7.343848974679867,13.355633418839854,6.9417962633882615,9.21375955230266,0.5289115646258503,0.2710884353741497,46.36756199378306,142.85645238068105
