model_kind,horizon,metric,samples,estimate,ci95_low,ci95_high,bootstrap_samples,bootstrap_block_size
ensemble,7d,mase,1176,0.41798776440574875,0.40393408897917665,0.4377778669146445,300,21
lstm,7d,mase,1176,0.5056592759709163,0.47344284245002266,0.5401816562534161,300,21
sarima,7d,mase,1176,0.4697710766027274,0.4524908065492035,0.4881453157682117,300,21
ensemble,7d,pinball_avg,1176,8.905920438573576,8.153193264634591,9.608178899977837,300,21
lstm,7d,pinball_avg,1176,12.737331294497553,10.740635446083607,14.96587154240296,300,21
sarima,7d,pinball_avg,1176,9.21375955230265,8.330323520168967,10.178801011776473,300,21
ensemble,7d,rmse,1176,57.57968041210376,53.153531851029946,62.20465256767414,300,21
lstm,7d,rmse,1176,88.4346557442787,75.75417223383857,100.4290100103009,300,21
sarima,7d,rmse,1176,59.46104163406509,54.376267705529855,64.52297704273738,300,21
