model_kind,horizon,metric_code,samples,mean_error,mae,rmse,mape,smape,mase,rmsse,pinball_q10,pinball_q50,pinball_q90,pinball_avg,picp80,ace80,miw,winkler80
ensemble,24h,cpu_load_total,24,1.8552660544312944,2.9107531209269317,3.8002131421315215,0.05963011012630118,0.056947303842076795,0.3624176998800565,0.2975657833516957,0.8596003818234185,1.4553765604634659,0.620304213137239,0.978427051808041,0.7916666666666666,0.008333333333333415,8.695552153882195,14.799045949606574
ensemble,24h,mem_usage_percent,24,0.03994744549545123,1.2676341540853262,1.5051606111038713,0.016184058324982053,0.016225030803849547,0.35864967124300295,0.266432214984702,0.22180495166160438,0.6338170770426631,0.3160776011028607,0.3905665432690428,0.6666666666666666,0.13333333333333341,2.8106678793883213,5.378825527644651
ensemble,24h,net_bytes_recv,24,59.96909420456535,99.03007222877204,121.19693377562015,0.4721267982446012,0.29138392659453344,0.42456744473101066,0.30270859289009766,39.976786614651985,49.51503611438602,16.98526933570049,35.4923640215795,0.4166666666666667,0.38333333333333336,141.25463034051515,569.6205595035248
ensemble,24h,net_bytes_sent,24,57.465349682863824,83.42233759213717,97.44678478288762,1.3968887159932775,0.3218732914007806,0.3834704854778972,0.2478762337251324,22.3078559018023,41.711168796068584,19.072706527241255,27.697243741704046,0.4583333333333333,0.34166666666666673,144.61676227492487,413.8056242904357
ensemble,24h,ping_latency_gateway,24,-1.066538830893624,1.406308555901037,1.7552063596302776,0.12541434832609763,0.13548188711705655,0.6360206480135518,0.5337522644384243,0.2858315127376244,0.7031542779505185,0.44724878978462607,0.47874486015758966,0.4583333333333333,0.34166666666666673,2.311025500932579,7.330803025222505
ensemble,24h,storcli_drive_temperature,24,0.33840567740007793,0.6662161648005364,0.8116498254148504,0.02123540203189112,0.02102060376218144,0.4734918958475083,0.36931971656883544,0.1789715093755816,0.3331080824002682,0.13031686883376883,0.21413215353653955,0.5,0.30000000000000004,1.3434662338450007,3.0928837820935033
ensemble,24h,system_temperature,24,0.006873238514110369,0.7347021876267839,0.9277424897303852,0.014097409579571986,0.014094396920297106,0.35914735773554735,0.25940691935280885,0.17163210782917748,0.3673510938133919,0.22161561370980198,0.25353293845079045,0.5,0.30000000000000004,1.413232099485364,3.932477215389794
ensemble,30d,cpu_load_total,717,2.1312486057081252,4.102712317416343,5.10211163555992,0.09004784237672715,0.08511747697401531,0.510828469325527,0.3995075509716356,1.1510819355197608,2.0513561587081717,0.8361515363874813,1.3461965435384713,0.6150627615062761,0.1849372384937239,9.133501602039884,19.872334719072434
ensemble,30d,mem_usage_percent,717,0.6590724871363937,1.3932366124916675,1.747412720438732,0.017937486248702565,0.017782035270713644,0.3941861706892893,0.3093138620319678,0.38242227923045186,0.6966183062458338,0.292421891829571,0.4571541591019522,0.6443514644351465,0.15564853556485359,3.223698001402224,6.748441710600228
ensemble,30d,net_bytes_recv,717,35.223251202295984,94.21565681634857,117.9364840394117,0.8886744346803527,0.3183475407745035,0.4039268049382388,0.2945651017877255,32.63885263831632,47.107828408174285,19.851486999918873,33.19938934880316,0.4714086471408647,0.3285913528591353,152.73168202950052,524.903396382351
ensemble,30d,net_bytes_sent,717,22.736393137322207,88.27752422619609,110.18587923159319,1.0415291589111821,0.34235526173289477,0.4057884980077187,0.28028077903721554,26.69746709401886,44.138762113098046,21.135062744594126,30.657097317237014,0.49232914923291493,0.3076708507670851,144.8581547985514,478.3252983861307
ensemble,30d,ping_latency_gateway,717,0.10471980273506713,1.2099143374759807,1.4957283131444974,0.14339202786366917,0.13529528348023456,0.5471989043466459,0.45484587595370046,0.32203351317294626,0.6049571687379903,0.27846165510604093,0.40181744567232586,0.5564853556485355,0.24351464435146453,2.412623774001442,6.004951682789871
ensemble,30d,storcli_drive_temperature,717,0.08916536308128208,0.5673639127369549,0.7147901814936726,0.018482090416418767,0.01841375412797979,0.4032358097430907,0.32524630569654966,0.13608760396688882,0.28368195636847743,0.13266490198647438,0.1841448207739469,0.6499302649930265,0.15006973500697351,1.400204075067008,2.687525059533633
ensemble,30d,system_temperature,717,0.4288802890066472,0.700691423260213,0.878300647234352,0.014027351304506759,0.013918296461175771,0.342521742128935,0.24558244091078993,0.18469484476348813,0.3503457116301065,0.15309873447249814,0.22937976362203094,0.6415620641562064,0.15843793584379362,1.6315143520441016,3.3779357923598616
ensemble,7d,cpu_load_total,168,1.8504760531878826,3.617412711583216,4.604086934748944,0.08349088432126794,0.07883369964327565,0.4504038439479108,0.36051102507093585,1.005348995258436,1.808706355791608,0.7678495201786477,1.1939682904095639,0.6607142857142857,0.13928571428571435,8.666817173066908,17.731985154370847
ensemble,7d,mem_usage_percent,168,0.36304373708462767,1.1979900348731298,1.5023605938990643,0.015644424148843355,0.015554868532245449,0.33894537376966305,0.265936576990744,0.32860209486996644,0.5989950174365649,0.2394895617070962,0.3890288913378759,0.7202380952380952,0.07976190476190481,3.0459228913666228,5.680916565770628
ensemble,7d,net_bytes_recv,168,15.210150416911802,91.56896176616748,111.93383165386989,0.6908424584117918,0.3238192717596829,0.392579741070188,0.2795725240002398,28.146574182622224,45.78448088308374,21.631107946432028,31.854054337379328,0.47023809523809523,0.3297619047619048,146.41674214931086,497.77682129054256
ensemble,7d,net_bytes_sent,168,10.81837602435626,81.71044497281002,103.20714819449813,0.5986802023049422,0.28698097599783506,0.37560136657321064,0.2625289202200162,21.22764119562345,40.85522248640501,22.109976574095803,28.064280085374758,0.5595238095238095,0.2404761904761905,144.8131207613034,433.37617769719293
ensemble,7d,ping_latency_gateway,168,0.016880699586854737,1.2040255804534603,1.4520528409448155,0.14030232354728542,0.13303003425951548,0.5445356402701087,0.4415643138974261,0.26233482153003707,0.6020127902267302,0.28189167734077225,0.3820797630325132,0.6130952380952381,0.1869047619047619,2.7001302669596763,5.442264988708091
ensemble,7d,storcli_drive_temperature,168,-0.018885495899989578,0.6563186222002454,0.7879300016943033,0.021239810396020027,0.021196037973963647,0.4664575330420872,0.3585266401715631,0.16257156143938073,0.3281593111001227,0.13914117850552646,0.20995735034834329,0.5357142857142857,0.26428571428571435,1.3601253626215062,3.017127399449073
ensemble,7d,system_temperature,168,0.4359513416454574,0.7311089313882485,0.9247012299974512,0.014866444537392281,0.014745008021357404,0.3573908521670728,0.2585565499593564,0.21842548013675528,0.36555446569412425,0.1602431105670762,0.24807435213265192,0.5773809523809523,0.22261904761904772,1.5090449492688653,3.7866859070383123
lstm,24h,cpu_load_total,24,2.858351386774583,4.540403633699444,5.693450341901972,0.09447030837019281,0.08873383969461905,0.5653253893715265,0.44581078681596914,1.3386110261842343,2.270201816849722,0.8481870369643443,1.4856666266661003,0.625,0.17500000000000004,9.189692770243015,21.86798063148579
lstm,24h,mem_usage_percent,24,0.4925125791792784,1.5049258361604572,1.7416548865826735,0.019252361817469615,0.019159956143472812,0.42578622124102106,0.30829465357244107,0.4606977915111898,0.7524629180802286,0.2672174899539315,0.49345939984845,0.4583333333333333,0.34166666666666673,2.979455227560935,7.279152814651215
lstm,24h,net_bytes_recv,24,46.12835018553081,134.44250981524124,183.32966429932733,0.4305338630495694,0.28922478428555976,0.5763896922504405,0.45789495646652034,44.08924661513857,67.22125490762062,36.688762213038906,49.333087911932694,0.4166666666666667,0.38333333333333336,182.82121898665238,807.7800882817747
lstm,24h,net_bytes_sent,24,24.673227755599214,138.51657130336855,200.39997162391174,1.116278709695107,0.3938783551437674,0.6367241482027587,0.5097591502421929,47.03669477134891,69.25828565168428,37.51181094699684,51.26893045667668,0.5,0.30000000000000004,196.10264927201936,845.4850571834573
lstm,24h,ping_latency_gateway,24,-0.8807391602753989,1.5355522003486268,1.7992547456158523,0.1304391988542873,0.13790469851808093,0.6944727040351563,0.5471472283044454,0.2679322544243296,0.7677761001743134,0.42527115609518873,0.48699317023127725,0.6666666666666666,0.13333333333333341,3.185345530774707,6.932034105195183
lstm,24h,storcli_drive_temperature,24,0.4364123794704667,0.9029002583368616,1.0138388787897286,0.028880453940217488,0.02857116248232319,0.641707568307237,0.4613204803804516,0.250066545498777,0.4514501291684308,0.17315488620537997,0.29155718695752925,0.375,0.42500000000000004,1.5064550785426227,4.232214317041572
lstm,24h,system_temperature,24,0.09107932698250654,0.9311168886089467,1.1453678744223192,0.018011944969216317,0.01798333288468756,0.4551615279206449,0.3202573506317629,0.24184659124453964,0.46555844430447335,0.26018050232112205,0.32252851262337834,0.4583333333333333,0.34166666666666673,1.5964999148187562,5.020270935656618
lstm,30d,cpu_load_total,717,2.4776718574567647,4.753531604897193,5.9915000463920896,0.10236132363667226,0.09601623852799611,0.5918619405294588,0.46914879194285986,1.4325074464821588,2.3767658024485967,0.9207585030217393,1.5766772506508318,0.5801952580195258,0.21980474198047428,9.464997041896524,23.53265949503899
lstm,30d,mem_usage_percent,717,0.8275196066666788,1.5472439767131316,1.9504103316244494,0.019894323444537298,0.019679262619300086,0.4377592239783792,0.34524697294771817,0.5065389878741504,0.7736219883565658,0.29944024538502123,0.5265337405385792,0.5592747559274756,0.2407252440725245,3.0933966561701514,8.059792332591716
lstm,30d,net_bytes_recv,717,78.7600197832066,138.6960139587436,177.86144400773156,1.0539092060023574,0.3768650741744878,0.5946255608579848,0.44423720772226116,54.62525732878099,69.3480069793718,29.34992078290464,51.107728363685816,0.41283124128312415,0.3871687587168759,187.79943396144128,839.7517811168567
lstm,30d,net_bytes_sent,717,23.43531233560525,126.00023432739451,180.71860531411392,0.977766430563568,0.37167764029817163,0.5791898479767473,0.45969548763591145,40.37894543224389,63.000117163697254,37.10058971240886,46.82655076945,0.496513249651325,0.30348675034867506,176.50031655836375,774.7953514465274
lstm,30d,ping_latency_gateway,717,0.40864390721098454,1.342503222339732,1.7362250761450027,0.15340569179182523,0.1401576236302681,0.6071638872208378,0.5279801209029213,0.3662867665825307,0.671251611169866,0.3139936596977602,0.45051067915005233,0.6317991631799164,0.1682008368200837,2.9984033384900206,6.802804262802912
lstm,30d,storcli_drive_temperature,717,0.12694829191172846,0.6828233447448889,0.8655820884136597,0.022145800037439593,0.022038827271096604,0.4852949194485433,0.3938601617964995,0.18065940502034236,0.34141167237244446,0.16281148266776083,0.22829418668684923,0.599721059972106,0.20027894002789404,1.4491351098966774,3.434708876881032
