model_kind,horizon,metric_code,samples,mae,rmse,mape,smape,mase,rmsse,pinball_q10,pinball_q50,pinball_q90,pinball_avg,picp80,ace80,miw,winkler80
ensemble,24h,cpu_load_total,24,3.5499856373502836,5.132035999100252,0.0682983740855778,0.07239752901090808,0.4432330700358225,0.402289707077619,0.8013551825867865,1.7749928186751418,1.0548258198571576,1.210391273706362,0.7083333333333334,0.09166666666666667,7.924989475191077,18.56181002443945
ensemble,24h,mem_usage_percent,24,1.2322684383898797,1.5407035858691167,0.015889857556116768,0.015902758316754643,0.34716219525542485,0.2724548872308812,0.315936730188542,0.6161342191949398,0.34578779067819315,0.4259529133538917,0.5833333333333334,0.21666666666666667,2.5780509367102566,6.617245208667351
ensemble,24h,net_bytes_recv,24,101.6597530830021,128.0234962423246,0.31173235930383275,0.22624352922393484,0.4313985543351104,0.31912981358067044,34.85875408799287,50.82987654150105,21.48346034114825,35.72403032354739,0.5,0.30000000000000004,175.51146288142868,563.4221442914113
ensemble,24h,net_bytes_sent,24,113.51826977754206,135.761206606815,0.9192123143165264,0.30309826747249174,0.5194240068482886,0.34505859354786966,34.77712084870873,56.75913488877103,22.90959924432134,38.14861832726704,0.5416666666666666,0.2583333333333334,201.1021346344056,576.8672009303007
ensemble,24h,ping_latency_gateway,24,0.9657454832894775,1.2177791738523982,0.0878306803781817,0.08925778249606625,0.43805685576960873,0.37068250800358643,0.248405596874827,0.48287274164473876,0.1977072566955805,0.3096618650717154,0.875,0.07499999999999996,3.0875488603503847,4.461128535704076
ensemble,24h,storcli_drive_temperature,24,0.65364013245873,0.7912143930269887,0.020890614742150353,0.020620458448084935,0.46701402154487986,0.36044242859761894,0.2221386460755275,0.326820066229365,0.11110837367065,0.22002236199184752,0.5,0.30000000000000004,1.2432677386370374,3.3324701974617756
ensemble,24h,system_temperature,24,0.7971374427691593,1.0375589276969306,0.01508107662985785,0.015161627527602533,0.386707755497824,0.2896737719141581,0.16507636966496977,0.39856872138457966,0.27918987281460983,0.2809449879547197,0.5,0.30000000000000004,1.4353610132985242,4.442662424795796
ensemble,30d,cpu_load_total,702,5.542860744660702,6.720591192152715,0.1243791614735425,0.11363350322843856,0.6920532744664152,0.5268132691496202,1.7873150149014907,2.771430372330351,1.0341992946769063,1.8643148939695828,0.5085470085470085,0.29145299145299153,10.273140067002387,28.215143095783983
ensemble,30d,mem_usage_percent,702,2.6106987935734467,3.046214761914183,0.03396978609506197,0.03320682755092617,0.735502018952863,0.5386864203150359,0.4914388499513127,1.3053493967867233,0.5991451526825169,0.7986444664735176,0.6851851851851852,0.11481481481481481,6.856741058238902,10.905840026338298
ensemble,30d,net_bytes_recv,702,128.52632457062202,156.0776494825282,1.2347508102184457,0.3809939507204164,0.5454082754706419,0.38906163825731843,26.341927287408197,64.26316228531101,29.624078381437133,40.076389318052115,0.717948717948718,0.08205128205128209,366.4187190406669,559.6600566884534
