model_kind,horizon,samples,mean_error,mae,rmse,mape,smape,mase,rmsse,pinball_q10,pinball_q50,pinball_q90,pinball_avg,picp80,ace80,miw,winkler80
ensemble,24h,168,16.94405678176806,27.06257485774998,58.80461592724621,0.3007966918038174,0.12243234863439653,0.4282521718469393,0.3383124343617402,9.143211854268818,13.53128742887499,5.399076992787151,9.357858758643653,0.5416666666666666,0.2583333333333334,43.206476640424775,145.4228884705596
ensemble,30d,5019,8.767532983897965,27.20958566370368,61.04160967755889,0.31629862740022224,0.13303280697450337,0.42966948559706386,0.33670417884089454,8.787519986998404,13.60479283185184,6.097049780613611,9.496454199821285,0.5815899581589958,0.2184100418410042,45.05591123322959,148.8456976761195
ensemble,7d,1176,4.096570396696132,25.812323231353716,57.57968041210376,0.22358093538107748,0.12487998516969669,0.4179877644057486,0.3247294647316443,7.335928333068602,12.906161615676858,6.475671366975281,8.90592043857358,0.5909863945578231,0.20901360544217695,44.073129079128215,138.11599700043865
lstm,24h,168,10.542742064751645,40.339139990823455,102.6860264745945,0.2625524058137228,0.13935087559321588,0.5707953216183979,0.44369656284597214,13.383585085050083,20.169569995411727,10.882083461653666,14.811746180705159,0.5,0.30000000000000004,56.76875954008739,242.65668546703762
lstm,30d,5019,15.224814153378372,39.13316759359086,95.8709493431528,0.33536719361626816,0.14919302550137192,0.5343782279934756,0.42818779663092676,13.97145827918671,19.56658379679543,9.76203850551565,14.433360193832597,0.5397489539748954,0.2602510460251046,54.698242300204654,237.33496784702342
lstm,7d,1176,6.332610855176478,35.08124188080893,88.43465574427874,0.289646695195009,0.14215089551882257,0.5056592759709166,0.4050814057689378,11.115829863599474,17.540620940404466,9.5555430794887,12.737331294497546,0.5510204081632653,0.2489795918367348,55.92672567764975,206.7137294308818
sarima,24h,168,16.787224075272622,28.000706624170302,60.34092535004245,0.3077425702946227,0.13109940376622328,0.4661360056228748,0.37331176929881615,9.055877670057475,14.000353312085151,5.657701551841806,9.571310844661477,0.5297619047619048,0.2702380952380953,46.28296900813265,147.13579221899275
sarima,30d,5019,6.918268975554883,27.77908381763871,62.22830352840029,0.3169613414430816,0.1398465913881047,0.4680822796002643,0.37279532100688667,8.463011006804663,13.889541908819355,6.64187681882582,9.66480991148328,0.5431360828850369,0.25686391711496315,46.39571952389054,151.04887825630422
sarima,7d,1176,3.1855979369188585,26.71126683767971,59.461041634065104,0.2277931602634454,0.13393462085945723,0.4697710766027274,0.3706783902339435,7.343848974679867,13.355633418839854,6.9417962633882615,9.21375955230266,0.5289115646258503,0.2710884353741497,46.36756199378306,142.85645238068105
