model_kind,horizon,samples,mean_error,smape,mase,rmsse,pinball_q10,pinball_q50,pinball_q90,pinball_avg
ensemble,7d,1176,4.096570396696132,0.12487998516969669,0.4179877644057486,0.3247294647316443,7.335928333068602,12.906161615676858,6.475671366975281,8.90592043857358
lstm,7d,1176,6.332610855176478,0.14215089551882257,0.5056592759709166,0.4050814057689378,11.115829863599474,17.540620940404466,9.5555430794887,12.737331294497546
sarima,7d,1176,3.1855979369188585,0.13393462085945723,0.4697710766027274,0.3706783902339435,7.343848974679867,13.355633418839854,6.9417962633882615,9.21375955230266
