model_kind,horizon,metric_code,samples,mae,rmse,mape,smape,mase,rmsse,pinball_q10,pinball_q50,pinball_q90,pinball_avg,picp80,ace80,miw,winkler80
ensemble,24h,cpu_load_total,24,4.625048657385016,6.012179821332442,0.06684161518687799,0.06524867102924983,0.5881506427386296,0.48439577950754126,1.623472413475224,2.312524328692508,1.0557277005295849,1.6639081475657722,0.5416666666666666,0.2583333333333334,8.012268908030116,26.79200114004809
ensemble,24h,mem_usage_percent,24,1.197917786701333,1.5798588671782636,0.012861001999675298,0.01290753673055278,0.5131462411678108,0.44838210827701025,0.29601659173337097,0.5989588933506665,0.31259421171151563,0.4025232322651844,0.7083333333333334,0.09166666666666667,3.0658524894023653,6.086108034448866
ensemble,24h,net_bytes_recv,24,115.33012522709423,144.00064102670711,0.21117350198452622,0.19650238290177638,0.48454575544589545,0.35169209551677977,31.993328396934277,57.665062613547114,30.705319735872596,40.12123691545133,0.5,0.30000000000000004,191.77955783868256,626.9864813280689
ensemble,24h,net_bytes_sent,24,139.45982913946477,227.7177339153412,0.9432357781413235,0.3071064564387883,0.6366778638254756,0.5806222127817142,49.52503677561026,69.72991456973239,45.14386146903649,54.799604271459714,0.5833333333333334,0.21666666666666667,185.04073468395416,946.6889824464678
ensemble,24h,ping_latency_gateway,24,1.3939820315023048,1.701126631027668,0.17124160799370877,0.1495753768758026,0.633809494219519,0.5288383908008076,0.5013786290597978,0.6969910157511524,0.2868940790043369,0.495087907938429,0.625,0.17500000000000004,2.841113932353076,7.882727080641349
ensemble,24h,storcli_drive_temperature,24,0.8134389459191623,0.9995254584069257,0.025898494670227562,0.02547531835780041,0.5698107844164985,0.4415073955279739,0.3158642997064435,0.40671947295958116,0.13515428031322815,0.2859126843264176,0.4583333333333333,0.34166666666666673,1.2439031591417458,4.510185800196717
ensemble,24h,system_temperature,24,0.70014533752541,0.9342515773580693,0.011706067477525018,0.011791720948854648,0.3565268091686049,0.26362623344674263,0.14925919296386708,0.350072668762705,0.23096174346318243,0.24343120172991817,0.625,0.17500000000000004,1.560493200399753,3.8022093642704946
ensemble,30d,cpu_load_total,704,4.943312205258504,6.125075758501735,0.07550986372497373,0.07259970741906303,0.6286230624056484,0.4934917009725505,1.4596223551917367,2.471656102629252,0.9857322531180965,1.6390035703130283,0.6619318181818182,0.1380681818181818,12.429199004846938,24.453546083098317
ensemble,30d,mem_usage_percent,704,2.1483386470653545,2.5568977621104634,0.023186258457087352,0.022868972122618333,0.9202734225466375,0.7256769785212069,0.9209763648109118,1.0741693235326772,0.3864167440629107,0.7938541441354999,0.5241477272727273,0.27585227272727275,3.9105952408525755,13.073931088738247
ensemble,30d,net_bytes_recv,704,123.74175306263056,160.0205617337363,1.0208423569515932,0.3534328704044871,0.5198862057928805,0.39081747331577743,28.698122356987746,61.87087653131528,32.70042258150849,41.08980715660384,0.8551136363636364,0.05511363636363631,469.98159608424527,613.9854493849624
