model_kind,horizon,samples,picp80,ace80,miw,winkler80
ensemble,24h,168,0.5416666666666666,0.2583333333333334,43.206476640424775,145.4228884705596
ensemble,30d,5019,0.5815899581589958,0.2184100418410042,45.05591123322959,148.8456976761195
ensemble,7d,1176,0.5909863945578231,0.20901360544217695,44.073129079128215,138.11599700043865
lstm,24h,168,0.5,0.30000000000000004,56.76875954008739,242.65668546703762
lstm,30d,5019,0.5397489539748954,0.2602510460251046,54.698242300204654,237.33496784702342
lstm,7d,1176,0.5510204081632653,0.2489795918367348,55.92672567764975,206.7137294308818
sarima,24h,168,0.5297619047619048,0.2702380952380953,46.28296900813265,147.13579221899275
sarima,30d,5019,0.5431360828850369,0.25686391711496315,46.39571952389054,151.04887825630422
sarima,7d,1176,0.5289115646258503,0.2710884353741497,46.36756199378306,142.85645238068105
